JOURNAL TITLE                                      (Previous title if applicable),Open Access ,ISSN (Print),ISSN (Online),FREQUENCY,EDITOR'S DETAILS                                                    (when available),PUBLISHER'S DETAILS,DATE OF LAST REVIEW OR ACCREDITATION,International Accreditation                         (if applicable)                                 USE INTERNTIONAL LIST WHEN REPORTING TO DHET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGTT: Ned Geref Teologiese Tydskrif,Yes                                 URL: http://ngtt.journals.ac.za/,0378-9889,,Quarterly,Prof P Coertzen                              ngtt@sun.ac.za,"NGTT, Theology Faculty                                                               University of Stellenbosch                                                       Private Bag X1                        Matieland                                                7602",Reviewed 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nidan: Journal for the Study of Hinduism,,1016-5320,,Annually,,"University of KwaZulu-Natal                                                    School of Religion and Theology                                     Private Bag X54001                                                       Durban, 4001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nomina Africana: Journal of the Names Society of Southern Africa/Tydskrif van die Naamkundevereniging van Suider Afrika,,1012-0254,,Biannually,,"University of Natal                                               Pietermaritzburg                                                                 Private bag X01                                                Scottsville, 3209",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obiter,,1682-5853,,Biannually,"Hilda Fisher (NMMU) hilda.fisher@nmmu.ac.za
Law Faculty
PO Box 77000
Nelson Mandela Metropolitan University
6031

","NMMU, Summerstrand Campus, Faculty of Law                                                                                                                 P.O.Box 1600                                                                Port Elizabeth, 6000                                                             Tel:041 504 2199                                                                    Fax:041 504 2818                                                                     E-mail:Adriaan.VanDerWalt@upe.ac.za",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occupational Health Southern Africa,www.occhealth.co.za,1024-6274 p        2226 -6097e,,Bimonthly,Prof Linda Grainger,Kevin Beaumont Technique  P.O.Box 626                        Kloof                                         3640,Reviewed 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Testament Essays (New Series),,1010-9919,,Triannually,Prof GF Snyman (UNISA),Department of Old  Testament Society in Southern Africa                                 ,Reviewed 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orion: Journal of the Operations Research of South Africa,Yes                                       URL: http://orion.journals.ac.za,0529-191X,,Biannually,"Prof JH van Vuuren, Deot of Logistics, Univ of Stellenbosch, Private Bag x1, 7602, Matieland",Operations Research Society of South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palaeontologia Africana,,0078-8554,,Annually,,"Bernard Price Institute for Palaeontological Research,                                                            University of the Witwatersrand                                           Private Bag X1, 2050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per Linguam: A Journal of Language Learning,Yes                                     URL: http://perlinguam.journals.ac.za ,0259-2312,,Biannually,"Elaine Ridge, Department of Didactics (US)
Private Bag X1
7602 MATIELAND
Tel: (021) 808-2284
E-mail: er@maties.sun.ac.za","Department of Didactics                                                    Faculty of Education                                                   University of Stellenbosch                                                   Private Bag X1, Matieland, 7599                                         Tel: 021 808 2284                                                                   E-mail: Er@sun.ac.za",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perspectives in Education,,0258-2236,,Quarterly,"J.G. MAREE, Faculty of Education, University of Pretoria","Faculty of Education, University of Pretoria, 0002, Tel: 012 420 4732, Fax: 012 420 3003, email: perspect@postino.up.ac.za",,ISI Social Science & IBSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philosophical Papers,,0556-8641,,Triannually,,"Dr. Ward E Jones                                                           Dept. of Philosophy, Rhodes University                                                            P.O Box 94                                                   Grahamstown, 6140                                                                 Tel:  046 603 8350/1                                                       Fax: 046 622 6460",,ISI Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phronimon: Journal of the South African Society for Greek Philosophy and the Humanities,URL: http://www.phronimon.co.za/,1561-4018,,Biannually,Prof Anastasios Ladikos,SA Society for Greek Philosophy and                                                                                   Humanities;UNISA                   Ladika@unisa.ac.za\phronimon.com                                           cell: 082 449 1307                 Tel: 012 429 6837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pins: Psychology in Society,Yes    http://www.scielo.org.za/scielo.php?script=sci_serial&pid=1015-6046&lng=en&nrm=iso,1015-6046,,Biannually,"Grahame Hayes (UKZN)
e-mail: hayes at ukzn.ac.za 
","PINS                                                                        Box 17285                                                           Congella, 4013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Politeia,,0256-8845,,Triannually,"Professor Goonasagree Naidoo
P.O.Box 392                                                                                                                                UNISA Press                                                                                                                                           Pretoria
0002
Tel: 012 429 6746
Fax: 012 429 6075
email:  naidog@unisa.ac.za /
            politeia@unisa.ac
",UNISA Press                                                                ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Practical Theology in South Africa,,1010-8017,,Biannually,,Secretary: Dr. LC Dressel                                                 Perokseenstraat 683                                              Elarduspark 0181                                                     Tel 012 322 8900x2254; Fax: 012 322 6587                                                                    E-mail:Idress@mweb.co.za,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Progressio,,0256-8853,,Biannually, Prof AI Le Roux                                                       Dr JE Mitchell,UNISA Press,Added 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psycho-analytic Psychotherapy in South Africa,,1023-0548,,Quarterly,Rika van den Berg,"P.O. Box 16115                                                                Vlaeberg, 8018                                             http://www.psa.org.za",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pythagoras,Yes             http://www.pythagoras.org.za,1012-2346,,Biannually,Marc Schäfer (Rhodes),"Association of Mathematics Education of South Africa (AMESA)                                                                     P.O. Box 54, Wits 2050                                                  Tel:011 403 6977                                                         Fax:011 339 1937                                                              E-mail:Pythagoras@amesa.org.za",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quaestiones Mathematicae,,1607-3606,,Quarterly,"BW Green, Dept of Mathematics, University of Stellenbosch, 7602, qm@sun.ac.za",NISC P.O.Box 377;Grahamstown;6140;E-mail:editor@nisc.co.za;Tel:046 622 9698;Fax:046 622 9550; publishing@nisc.co.za,,ISI Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Bulletin of the National Library of South Africa,http://www.nlsa.ac.za/publications.html,1562-9392,,Quarterly,"Prof Chris Saunders, University of Cape Town, Private Bag X 3, Rondebosch 7701. Email: Chris. Saunders@uct.ac.za","NLSA Cape Town Campus, PO Box 496, Cape Town.",Added in 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R&D Journal,Yes                                         URL: http://www.saimeche.org.za/?page=RDJournal,0257-9669,,Annually,,"Ms. A. Rotteglia,Promech Publishing,22 Mackay Avenue,Blairgowrie,2194,Tel:011 781 1401,Fax:011 781 1403;E-mail:editorial@promech.co.za",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Reading and Writing,http://www.rw.org.za/index.php/rw,2079-8245,,Annually,Agnes Chigona                            Email: chigona@cput.ac.za,"AOSIS OpenJournals         Private Bag x 22                         Postnet suit #55                Tygervalley, CA 7536                 021 5004 974  info@openjournals.net ",Added in 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Religion & Theology: A Journal of Contemporary Religious Discourse,"Yes                                         URL: http://www.journals.co.za/ej/ejour_iscrime.html

http://www.iss.co.za/pgcontent.php?UID=649",1023-0807,,Quarterly,,PO Box 392; Pretoria; 0003; Tel: 012 429 3081; Fax: 012 429 3449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA Bone and Joint Surgery,,1024-6274,,Quarterly,,"Cannon Medical Media Publication                          P.O.Box 2433                                                             Randburg, 2125                                                              Tel: 011 791 2615, Fax: 011 791 2618                                      E-mail: cmm@iafrica.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA Heart,Yes        URL: http://www.saheart.org/journal/index.php?journal=SAH,1966-6741,,Quarterly,"Anton Doubell 
","Greenroom Design Studio                                               POBox 15, Mutual Park, 7451                                          Email: ilze@greenroomcreative.co.za",Added 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA Journal of Accounting Research,,1029-1954,,Annually,"EO Uliana, UCT","SA Journal of Accounting Research                              P.O. Box 59873                                                       Kengray, 2100                                                       Tel: 011 621 6723/ 6600                                             Fax: 011 621 6827/5543                                                    E-mail: sajar@saica.co.za",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA Journal of Human Resource Management,Yes                                            URL: http://www.sajhrm.co.za/  ,1683-7584,,Triannually,Prof G Roodt (UJ)                      www.sajhrm.co.za,Openjournals Publishing; info@openjournals.net; www.openjournals.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA Journal of Industrial Psychology (Journal of Industrial Psychology),Yes                                           URL: http://www.sajip.co.za,0258-5200,,Triannually,Prof G Roodt (UJ)                      ,"AOSIS (Pty) Ltd                                                                Postnet Suite 55, Private bag X22                                Tygervalley, 7563                                                              Tel 021-9754684; Fax 021-9753448 info@openjournals.net; www.openjournals.net",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA Journal of Radiology,Yes                                URL: http://www.sajr.org.za   ,1027-202X,,Quarterly,Jan Lotz (SUN),"SA Medical Association, Health and Medical Publishing Group,                                                 Suites 1-2, Lonsdale Building; Gardener Way; Pinelands 7405                                                      Tel: 021 530 6520, Fax: 021 531 4126                                 E-mail: publishing@samedical.org",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA Mercantile Law,,1015-0099,,Triannually,PROF JP VAN NIEKERK,Juta Law                                                                         ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA Orthopaedic Journal,Yes                                        URL: http://www.scielo.org.za/scielo.php?script=sci_serial&pid=1681-150X&lng=en&nrm=iso,1681-150X,,Quarterly,Prof RP Grabe                                  012 335 3696                                    henriette.Strydom@up.ac.za,"Department of Orthopedics                                        Private Bag X169,                             Pretoria,                                              0001                                              Tel: 012 354 6274,                                 Fax: 012 354 6164                                               ",Reviewed 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Safundi:Journal of South African and American Comparative Studies,,1753-3171,,Quarterly,Andrew Offenburger (offenburger@safundi.com) &  Prof C Saunders                                               UCT                                                                      Private bag                                                           Rondebosch,Routledge,,IBSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAHARA J: Journal of Social Aspects of HIV/AIDS Research Alliance,Yes                                          URL: http://www.sahara.org.za/journal/journal-of-social-aspects-of-hiv-aids-a-sahara-j,1729-0376,,Quarterly,Prof Karl Peltzer (HSRC) & Dr Jacques Philippe of l'Université de Yaoundé.,"SA Medical Assoc Health & Medical Publ Group, 21 Dreyer St, 4th Floor, Sanclare Bldg, Claremont, 7700",,IBSS& ISI Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAIEE Africa Research Journal (Transactions of the South African Insitute of Electrical Engineers),Yes                                                                            URL: http://www.saiee.org.za//content.php?pageID=200#                            ,1991-1696 ,,Quarterly,Prof B M Lacquet (Wits) beatrys.lacquet@wits.ac.za,"Crown Publications                                                       Ms Karen Grant                                                           PO Box 140                                                          Bedfordview, 2008.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMJ - South African Medical Journal ,  URL: http://www.samj.org.za,0256-9574 ,,Monthly,"Dan Ncayiyana, HMPG, South Africa","SA Medical Assoc, Block F, Castle Walk Corporate Park, Nossob Street, Erasmuskloof Ext3, Pretoria, 0002",Reviewed 2011,ISI Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMUS:South Africa Journal of Musicology,,0258-509X,,Annually,,Musicological Society of Southern  Africa                  P.O.Box 3452                                                      Matieland; 7602                                                           Tel:021 808 2350; Fax:021 808 2340                                                      E-mail:ig@sun.ac.za,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scholia: Studies in  Classical Antiquity (Scholia: Natal Studies in Antiquity ),,1018-9017,,Annually,"Prof. W.J. Dominik                                                          Dept.of Classics                                                                   University of Otago                                                    P.O.Box 56, Dunedin, New Zealand                           Tel:+64 02 479 8710; Fax:+64 03 4799029        email:william.dominik@stonebow.otago.ac.nz","University of Otago   in Association with UKZN                                                 P.O.Box 56, Dunedin, New Zealand                                          Tel:+64 02 479 8710;                   Fax:+64 03 4799029        ",Reviewed 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scientia Militaria:South african Journal of Military Studies,Yes                                           URL: http://scientiamilitaria.journals.ac.za ,1022-8136,,Biannually,Dr A Esterhuyse,"Faculty of Military Science (Military Academy) University of Stellenbosch                                           Private Bag X2, Saldanha, 7395                                         Tel: 022 714 3104, Fax: 022 714 3060                                               E-mail: ian@ma2.sun.ac.za",Reviewed 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Scriptura:INTERNATIONAL JOURNAL OF BIBLE, RELIGION AND THEOLOGY IN SOUTHERN AFRICA",,0254-1807,,Quarterly,"ProfHendrik Bosman (University of Stellenbosch)
","US Printing                                                                 Private Bag X1, Matieland, 7602                             Tel: 021 808 3941                                                               E-mail:usprint@sun.ac.za",Reviewed 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrutiny2 (Unisa English Studies),,1812-5441,,Biannually,Leon de Kock,Routledge & UNISA Press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shakespeare in Southern Africa,,1011-582X,,Annually,Brian Pearce ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Slavic Almanac:The South African year book for Slavic,Central and East European Studies (Slavic Almanach)",,1025-3386,,Biannually,"Agata Krzychylkiewicz, University of South Africa  ",Unisa Press                                                                             ,Reviewed 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Social Dynamics - A Journal of the Centre for African Studies, University of Cape Town",,0253-3952,,Biannually,"Meg Samuelson (SUN), 
Suren Pillay (UWC & HSRC) & Nigel Penn (UCT)  ","Centre African Studies, University of Cape Town, Private Bag, Rondesbosch, 7701",,ISI Social Science & IBSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Work Practitioner Researcher,Yes ,1011-2324,,Triannually,,"P.O.Box 424                                                                   Auckland Park, 2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Work: A Professional Journal for the Social Worker,,0037-8054,,Quarterly,,"Department of Social Work                                            University of Stellenbosch                                                  P.O.Box 223, Stellenbosch, 7599                                  Tel: 021 808 2070/2069                                                       Fax: 021 808 3765",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Actuarial Journal,,1680-2179,,Annually,"Rob Thomson
Department of Statistics and Actuarial Science
University of the Witwatersrand
Private Bag 3
WITS; 2050 Tel: +27 (0)11 646-5332
Fax: +27 (0)11 339-6640; Email: rthomson@icon.co.za","Acturial Society of South Africa                                      P.O. Box 4464                                                                       Cape Town, 8000                                       http://www.assa.org.za",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Archaeological Bulletin,Yes                                  URL: http://www.actuarialsociety.org.za/News-and-Publications/Publications/South-African-Actuarial-Journal-671.aspx,0038-1969,,Biannually,,"South African Archeoalogical Society; PO Box 15700; Vlaeberg, 8018, Tel: 021 481-3886 Fax: 021 481-3993, Email: archsoc@iziko.org.za",,ISI Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Baptist Journal of Theology,,1019-7990,,Annually,,"P.O.Box 38473                                                        Gatesville,7766                                                                   Tel: 021 637 9020/1                                                     Fax: 021 633 2626                                                                E-mail: baptcol@bigfoot.com",Reviewed 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Computer Journal,"|Yes                                     URL: http://www.journals.co.za/ej/ejour_comp.html
URL: http://sacj.cs.uct.ac.za/",1015-7999,,Biannually,"Prof. Lucas Venter 
University of South Africa",SA Institute of Computer Scientists and Information Technologists; c/o                                The Head of Department; Floor8; Theo van Wyk; Room42; School of Computing; Pretoria                                                           Tel:012 429 6817                                                         E-mail:kotzep@unisa.ac.za;                                            ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South African Crime Quarterly


",,1991-3877,,Quarterly,Dr Chandré Gould (ISS)," Institute for Security Studies 
PO Box 1787
Brooklyn Square
0075
Fax: 012 460 0998",Added 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Dental Journal (Journal of the Dental Association of South Africa),"Yes URL: http://www.satnt.ac.za/
URL: http://www.journals.co.za/ej/ejour_aknat.html",1029-4864,,Ten issues per year,,"Electronic Doctor (E-Doc) Publishers                          1175 Lara Street; Moreleta Park, Pretoria                                                       P.O Box 37545                                                                                       Faeri Glen; 0043                                                          Tel: 012 997 6531                                                                                                Fax:012 997 6532                                Email:johan@edoc.co.za                                                    ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Family Practice (Geneeskunde: The Medicine Journal),Yes                                               URL: http://www.safpj.co.za/,2078-6190,,6 times per year,"Prof Gboyega Ogunbanjo, South African Family Practice","South African Family Practice                                        P.O. Box 14804                                        Lyttleton,0140                                                                Tel:012 664 7460                                                           Fax:012 664 6276                                                                   E-editor@safpj.co.za",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South African Journal for Research in Sport,Physical Education & Recreation",,0379-9069,,Biannually,Prof. Floris J.G. Van Der Merwe,"Department of Sport Science, University of Stellenbosch, Private Bag X1, Matieland, 7602Tel021 808 4915; Fax: 021 808 4817, Email: floris@sun.ac.za",,ISI Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Journal for Science and Technology,,0254-3486 ,,Quarterly ,,"South African Journal for
Science and
Technology
South African Academy for Science and Arts,574
Ziervogel Street/Private bagX11
Arcadia;0007; Tel: 012 328 5082, Fax: 012 328 5091
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Journal of Agricultural Extension,,0301-603X,,Annually,S.E. Terblanché,"South African Society for Agricultural Extension(SASAE)                                                   Department of Agriculture, Ecomomics, Extensions and Rural,                                   University of Pretoria, 0002,                                                Tel: 012 420 3246",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Journal of Art History,,0258-3542,,Irregular,Estelle Alma Maré,"Art Historical Work Group of South Africa Department of Art History and Fine Arts                           UNISA, P.O.Box 392                                               Pretoria, 0003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Journal of Bioethics and Law, Yes                                           URL: http://www.sajbl.org.za,1999-7639,,Biannually,Prof A Dhai,SAMA Health & Medical Publishing Group - SA Robert Matzdorff; e-mail: robertm@hmpg.co.za; tel: 021 681 7220,Added 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Journal of Business Management ,,0378-9098 ,,Quarterly,"E.v.d.M. Smit, Graduate School of Business, University of Stellenbosch, PO Box 610, Bellville 7535, South Africa","Associatopn of Professional Managers SA, PO Box 11937, Centurion, 0046",,ISI Social Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Journal of Chemical Engineering,,1026-9185,,Biannually,,"P.O.Box 808                                                                         Pinegowerie, 2123                                                          Tel: 011 782 4183, Fax: 011 782 4188        www.saiche.co.za",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South African Journal of Child Health 

",,1994-3032,,Quarterly,Prof Nonhlanhla P Khumalo ,"Publisher: Health & Medical Publishing Group
Private Bag X1
Pinelands, 7430
Fax: 021 681 7200",Added 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Journal of Childhood  Education,,2223-7674,2223-7682,Biannually,Elizabeth Henning                           Email: ehenning@uj.ac.za,"Centre for Education Research Practice, University of Johannesburg, Soweto Campus, Chris Hani Road, Robert Sobukwe Building, GNA 101,                         Email: cepr@uj.ac.za",Added in 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Journal of Clinical Nutrition,Yes                                           URL: http://www.sajch.org.za/,0038-2469,,Quarterly,Demetre Labadarios,"Health and Medical Publishing Group                        Private Bag X1, Pinelands, 7430                                                        Tel: 021 530 6520                                                                Fax: 021 531 4126,                                                                 E-mail:publishing@samedical.org; http://www.samedical.org",Reviewed 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Journal of Communication Disorders,,0379-8046,,Annually,Dr Mershen Pillay,SA Speech-Language-Hearing Association                                                                                                                                        E-mail: publications@saslha.co.za,Reviewed 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Journal of Criminal Justice,,1011-8627,,Triannually,Prof JM Burchell,"Juta Law                                                                         P.O. Box 24299                                                               Lansdowne, 7779                                                                 Cape Town",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Journal of Cultural History,,1011-3053,,Biannually,Matilda Burden,"South African Society of Cultural History                                             P.O.Box 11403                                                     Hatfield, 0028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Journal of Economic and Management Sciences,Yes                                        URL: http://www.scielo.org.za/scielo.php?script=sci_serial&pid=2222-3436&lng=en&nrm=iso URL: http://www.sajems.org/index.php/sajems/issue/current,1015-8812,,Quarterly,,"Faculty of Economic & Management Science, University of Pretoria, 0001; Tel: 012 420 3465; Fax: 012 362 5207; Email: jblignau@hakuna.up.ac.za",,ISI Social Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Journal of Education,Yes                                          URL: http://www.scielo.org.za/scielo.php?script=sci_serial&pid=0256-0100&lng=en&nrm=iso,0256-0100,,Quarterly,"Prof PC van der Westhuizen
North-West University
Science Africa
PO Box 11890
Silver Lakes, 0054              nsopcvdw@puknet.puk.ac.za","Education Association of SA; Science Africa, PO Box 11890, Silver Lakes, 0054, Fax: 0865113379, Email: sci-af@silverlakes.co.za",,IBSS & ISI Social Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Journal of Enology and Viticulture ,,0253-939x ,,Biannually,Prof LMT Dicks lmtd@sun.ac.za,"South African Society of  Enology & Viticulture-SASEV, Dennesig, P O Box 2092, Stellenbosch",Reviewed 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Journal of Environmental Law and Law Policy,,1023-1765,,Biannually,Prof MA Kidd ( UKZN)                                                                   ,"School of Law                                                              University of Kwazulu-Natal                                                                        Golf Road,Scottsville, 3209                                            Tel: 033 260 5036                                                        Fax:033 260 5015                                                                    E-mail:ielaw@ukzn.ac.za",Reviewed 2009,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Journal of Higher Education,,1011-3487,,Quarterly,"Yusef Waghid
South African Journal of Higher Education
Faculty of Education
Stellenbosch University
PO Box 3003
Matieland
7602
Tel: +27 21 808 3927
Fax: +27 21 889 7737

",UNISA Press                                                                    P.O.Box 392; UNISA; 0003                                                                          Tel: 012 429 3081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Journal of Industrial Engineering,,1012-277X,,Biannually,"Prof SA Adendorff
susan@up.ac.za","PO Box 431,                                                                Bedfordview; 2008                                                      Tel:011 607 9557; Fax:011 616 8410                    E-mail:admin@saiie.co.za",,ISI Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Journal Of Industrial Engineering ,,1012-277x ,,Biannually,,"Southern African Inst Industrial Engineering, University of Pretoria, Dept Industrial Systems Engineering, Pretoria, 0001",,ISI Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Journal of Information Management,Yes                                           URL: http://www.sajim.co.za,1560-683X,,Quarterly,,Interword                                                                            271 Alpine Road                                                             Menlo Park; 0081                                                              Tel: 012 348 5514; Fax: 012 348 5515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Journal of Labour Relations,,0379-8410,,Biannually,"Prof Barney Erasmus; UNISA, Dept of Business Management, PO Box 392, UNISA, 0003, Tel: (012) 429-2889. Email-Erasmbj@unisa.ac.za",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
